"season"	"week_num"	"day_of_week"	"gametime_local"	"home_team"	"away_team"	"home_score"	"away_score"	"OT_flag"	"arrests"	"division_game"
"64"	2015	3	"Sunday"	"1:02:00 PM"	"Baltimore"	"Cincinnati"	24	28	""	0	"y"
"761"	2015	4	"Thursday"	"8:30:00 PM"	"Pittsburgh"	"Baltimore"	20	23	"OT"	1	"y"
"979"	2012	11	"Sunday"	"1:00:00 PM"	"Washington"	"Philadelphia"	31	6	""	5	"y"
"36"	2015	7	"Monday"	"5:30:00 PM"	"Arizona"	"Baltimore"	26	18	""	2	"n"
"611"	2011	1	"Sunday"	"8:20:00 PM"	"New York Jets"	"Dallas"	27	24	""	34	"n"
"1006"	2015	15	"Sunday"	"1:00:00 PM"	"Washington"	"Buffalo"	35	25	""	1	"n"
"572"	2011	5	"Sunday"	"1:00:00 PM"	"New York Giants"	"Seattle"	25	36	""	15	"n"
"423"	2015	17	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Tennessee"	30	24	""	1	"y"
"859"	2012	9	"Sunday"	"1:05:00 PM"	"Seattle"	"Minnesota"	30	20	""	5	"n"
"766"	2015	13	"Sunday"	"8:30:00 PM"	"Pittsburgh"	"Indianapolis"	45	10	""	3	"n"
"516"	2014	1	"Sunday"	"1:00:00 PM"	"Miami"	"New England"	33	20	""	2	"y"
"652"	2011	4	"Sunday"	"1:15:00 PM"	"Oakland"	"New England"	19	31	""	15	"n"
"495"	2015	7	"Sunday"	"12:00:00 PM"	"Kansas City"	"Pittsburgh"	23	13	""	1	"n"
"852"	2011	12	"Sunday"	"1:05:00 PM"	"Seattle"	"Washington"	17	23	""	0	"n"
"965"	2015	13	"Sunday"	"12:00:00 PM"	"Tennessee"	"Jacksonville"	42	39	""	0	"y"
"820"	2012	10	"Sunday"	"1:25:00 PM"	"San Francisco"	"St. Louis"	24	24	"OT"	8	"y"
"292"	2014	10	"Sunday"	"1:00:00 PM"	"Detroit"	"Miami"	20	16	""	NA	"n"
"678"	2014	14	"Sunday"	"1:25:00 PM"	"Oakland"	"San Francisco"	24	13	""	49	"n"
"634"	2013	16	"Sunday"	"1:00:00 PM"	"New York Jets"	"Cleveland"	24	13	""	10	"n"
"884"	2015	11	"Sunday"	"1:25:00 PM"	"Seattle"	"San Francisco"	29	13	""	0	"y"
"629"	2013	6	"Sunday"	"1:00:00 PM"	"New York Jets"	"Pittsburgh"	6	19	""	20	"n"
"932"	2011	12	"Sunday"	"12:00:00 PM"	"Tennessee"	"Tampa Bay"	23	17	""	0	"n"
"999"	2015	1	"Sunday"	"1:00:00 PM"	"Washington"	"Miami"	10	17	""	0	"n"
"99"	2014	8	"Sunday"	"1:00:00 PM"	"Carolina"	"Seattle"	9	13	""	2	"n"
"429"	2011	13	"Monday"	"8:30:00 PM"	"Jacksonville"	"San Diego"	14	38	""	6	"n"
"439"	2012	16	"Sunday"	"1:00:00 PM"	"Jacksonville"	"New England"	16	23	""	1	"n"
"811"	2011	8	"Sunday"	"1:15:00 PM"	"San Francisco"	"Cleveland"	20	10	""	1	"n"
"842"	2015	6	"Sunday"	"1:25:00 PM"	"San Francisco"	"Baltimore"	25	20	""	24	"n"
"275"	2012	11	"Sunday"	"1:00:00 PM"	"Detroit"	"Green Bay"	20	24	""	NA	"y"
"5"	2011	13	"Sunday"	"2:15:00 PM"	"Arizona"	"Dallas"	19	13	"OT"	3	"n"
"839"	2014	17	"Sunday"	"1:25:00 PM"	"San Francisco"	"Arizona"	20	17	""	18	"y"
"301"	2015	12	"Thursday"	"12:30:00 PM"	"Detroit"	"Philadelphia"	45	14	""	NA	"n"
"291"	2014	7	"Sunday"	"1:00:00 PM"	"Detroit"	"New Orleans"	24	23	""	NA	"n"
"402"	2013	5	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Seattle"	34	28	""	2	"n"
"523"	2014	17	"Sunday"	"1:00:00 PM"	"Miami"	"New York Jets"	24	37	""	7	"y"
"949"	2013	15	"Sunday"	"3:25:00 PM"	"Tennessee"	"Arizona"	37	37	"OT"	7	"n"
"313"	2012	2	"Thursday"	"7:20:00 PM"	"Green Bay"	"Chicago"	23	10	""	15	"y"
"61"	2014	13	"Sunday"	"1:00:00 PM"	"Baltimore"	"San Diego"	33	34	""	0	"n"
"975"	2012	3	"Sunday"	"1:00:00 PM"	"Washington"	"Cincinnati"	31	38	""	5	"n"
"62"	2014	15	"Sunday"	"1:00:00 PM"	"Baltimore"	"Jacksonville"	20	12	""	1	"n"
"238"	2012	16	"Sunday"	"2:05:00 PM"	"Denver"	"Cleveland"	34	12	""	3	"n"
"187"	2011	9	"Sunday"	"12:00:00 PM"	"Dallas"	"Seattle"	23	13	""	1	"n"
